time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Brondong,0.1,5.3,0.0,12540.0,0.4,31.0
2026-05-20T01:00,Brondong,0.1,5.6,0.0,12540.0,0.4,30.9
2026-05-20T02:00,Brondong,0.1,5.4,0.0,10340.0,0.4,30.9
2026-05-20T03:00,Brondong,0.1,5.8,0.0,10340.0,0.4,30.9
2026-05-20T04:00,Brondong,0.1,4.4,0.0,10340.0,0.4,30.8
2026-05-20T05:00,Brondong,0.1,3.2,0.0,10340.0,0.4,30.8
2026-05-20T06:00,Brondong,0.08,4.9,0.0,10340.0,0.4,30.8
2026-05-20T07:00,Brondong,0.08,4.0,0.0,12280.0,0.4,30.8
2026-05-20T08:00,Brondong,0.08,7.6,0.0,13180.0,0.4,30.8
2026-05-20T09:00,Brondong,0.08,9.3,0.0,10860.0,0.5,30.9
2026-05-20T10:00,Brondong,0.08,10.1,0.1,7640.0,0.5,30.9
2026-05-20T11:00,Brondong,0.08,12.2,0.2,9180.0,0.7,31.0
2026-05-20T12:00,Brondong,0.08,14.9,0.1,11920.0,0.7,31.0
2026-05-20T13:00,Brondong,0.08,16.5,0.0,16600.0,0.7,31.0
2026-05-20T14:00,Brondong,0.12,16.1,0.0,15020.0,0.7,31.0
2026-05-20T15:00,Brondong,0.16,15.2,0.0,16600.0,0.6,31.1
2026-05-20T16:00,Brondong,0.2,13.6,0.0,16600.0,0.5,31.1
2026-05-20T17:00,Brondong,0.18,9.5,0.0,16600.0,0.5,31.0
2026-05-20T18:00,Brondong,0.18,8.3,0.0,14540.0,0.5,31.0
2026-05-20T19:00,Brondong,0.16,7.6,0.0,11860.0,0.5,31.0
2026-05-20T20:00,Brondong,0.16,7.6,0.0,12880.0,0.5,31.0
2026-05-20T21:00,Brondong,0.14,8.3,0.0,11740.0,0.5,31.0
2026-05-20T22:00,Brondong,0.14,9.3,0.0,12120.0,0.4,31.0
2026-05-20T23:00,Brondong,0.14,7.4,0.0,12300.0,0.4,31.0
2026-05-21T00:00,Brondong,0.14,6.6,0.0,10260.0,0.4,31.0
2026-05-21T01:00,Brondong,0.14,6.0,0.0,10320.0,0.4,30.9
2026-05-21T02:00,Brondong,0.14,5.9,0.0,10380.0,0.4,30.9
2026-05-21T03:00,Brondong,0.14,6.1,0.0,10380.0,0.4,30.9
2026-05-21T04:00,Brondong,0.14,5.6,0.0,10380.0,0.4,30.8
2026-05-21T05:00,Brondong,0.14,5.2,0.0,10380.0,0.4,30.8
2026-05-21T06:00,Brondong,0.14,5.7,0.0,10380.0,0.4,30.8
2026-05-21T07:00,Brondong,0.14,4.5,0.0,11760.0,0.4,30.8
2026-05-21T08:00,Brondong,0.14,7.6,0.0,9660.0,0.4,30.8
2026-05-21T09:00,Brondong,0.14,10.4,0.1,8140.0,0.4,30.9
