time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Paciran,0.1,6.5,0.0,12720.0,0.4,31.0
2026-05-20T01:00,Paciran,0.1,6.4,0.0,12720.0,0.4,30.9
2026-05-20T02:00,Paciran,0.1,6.4,0.0,12720.0,0.4,30.9
2026-05-20T03:00,Paciran,0.1,6.1,0.0,10500.0,0.4,30.9
2026-05-20T04:00,Paciran,0.1,5.5,0.0,10500.0,0.4,30.8
2026-05-20T05:00,Paciran,0.1,4.0,0.0,10500.0,0.4,30.8
2026-05-20T06:00,Paciran,0.08,5.3,0.0,3480.0,0.4,30.8
2026-05-20T07:00,Paciran,0.08,4.1,0.0,10820.0,0.4,30.8
2026-05-20T08:00,Paciran,0.08,6.9,0.0,11900.0,0.4,30.8
2026-05-20T09:00,Paciran,0.08,9.5,0.0,10680.0,0.5,30.9
2026-05-20T10:00,Paciran,0.08,10.6,0.1,6680.0,0.5,30.9
2026-05-20T11:00,Paciran,0.08,12.2,0.1,10120.0,0.7,31.0
2026-05-20T12:00,Paciran,0.1,15.4,0.0,18140.0,0.7,31.0
2026-05-20T13:00,Paciran,0.1,16.1,0.0,18800.0,0.7,31.0
2026-05-20T14:00,Paciran,0.14,15.9,0.0,13140.0,0.7,31.0
2026-05-20T15:00,Paciran,0.16,15.1,0.0,16840.0,0.6,31.1
2026-05-20T16:00,Paciran,0.2,13.9,0.0,16840.0,0.5,31.1
2026-05-20T17:00,Paciran,0.18,9.6,0.0,16480.0,0.5,31.0
2026-05-20T18:00,Paciran,0.18,7.7,0.0,14280.0,0.5,31.0
2026-05-20T19:00,Paciran,0.16,7.2,0.0,11860.0,0.5,31.0
2026-05-20T20:00,Paciran,0.16,6.6,0.0,12520.0,0.5,31.0
2026-05-20T21:00,Paciran,0.14,9.1,0.0,11820.0,0.5,31.0
2026-05-20T22:00,Paciran,0.14,10.1,0.0,11580.0,0.4,31.0
2026-05-20T23:00,Paciran,0.14,8.0,0.0,12160.0,0.4,31.0
2026-05-21T00:00,Paciran,0.14,6.9,0.0,10380.0,0.4,31.0
2026-05-21T01:00,Paciran,0.14,6.4,0.0,10480.0,0.4,30.9
2026-05-21T02:00,Paciran,0.14,6.4,0.0,10540.0,0.4,30.9
2026-05-21T03:00,Paciran,0.14,7.1,0.0,10540.0,0.4,30.9
2026-05-21T04:00,Paciran,0.14,6.7,0.0,10540.0,0.4,30.8
2026-05-21T05:00,Paciran,0.14,5.9,0.0,10540.0,0.4,30.8
2026-05-21T06:00,Paciran,0.14,6.2,0.0,10380.0,0.4,30.8
2026-05-21T07:00,Paciran,0.14,5.6,0.0,11560.0,0.4,30.8
2026-05-21T08:00,Paciran,0.14,9.9,0.1,10360.0,0.4,30.8
2026-05-21T09:00,Paciran,0.14,11.3,0.1,8040.0,0.4,30.9
2026-05-21T10:00,Paciran,0.14,11.5,0.1,9460.0,0.5,31.0
2026-05-21T11:00,Paciran,0.14,9.4,0.0,11860.0,0.5,31.0
2026-05-21T12:00,Paciran,0.14,9.7,0.0,11980.0,0.5,31.1
2026-05-21T13:00,Paciran,0.14,10.9,0.1,10280.0,0.7,31.1
2026-05-21T14:00,Paciran,0.14,9.8,0.0,10220.0,0.7,31.1
2026-05-21T15:00,Paciran,0.12,7.9,0.1,6560.0,0.7,31.1
2026-05-21T16:00,Paciran,0.12,7.1,0.2,2440.0,0.5,31.1
2026-05-21T17:00,Paciran,0.12,8.3,1.8,3740.0,0.5,31.1
2026-05-21T18:00,Paciran,0.14,9.1,0.2,7660.0,0.5,31.1
2026-05-21T19:00,Paciran,0.14,5.3,0.0,9640.0,0.4,31.1
2026-05-21T20:00,Paciran,0.14,7.1,0.0,7180.0,0.4,31.1
2026-05-21T21:00,Paciran,0.14,6.2,0.0,7260.0,0.4,31.0
2026-05-21T22:00,Paciran,0.14,9.0,0.0,7260.0,0.4,31.0
2026-05-21T23:00,Paciran,0.14,8.6,0.0,7320.0,0.4,31.0
2026-05-22T00:00,Paciran,0.14,9.5,0.0,7240.0,0.4,31.0
2026-05-22T01:00,Paciran,0.14,9.6,0.0,7240.0,0.2,31.0
2026-05-22T02:00,Paciran,0.14,6.9,0.0,7260.0,0.2,30.9
2026-05-22T03:00,Paciran,0.16,8.1,0.0,7280.0,0.2,30.9
2026-05-22T04:00,Paciran,0.16,8.8,0.0,7300.0,0.2,30.8
2026-05-22T05:00,Paciran,0.16,10.5,0.0,7320.0,0.2,30.8
2026-05-22T06:00,Paciran,0.14,10.7,0.0,7340.0,0.2,30.8
2026-05-22T07:00,Paciran,0.14,10.3,0.0,10580.0,0.4,30.8
2026-05-22T08:00,Paciran,0.14,10.0,0.0,12840.0,0.4,30.8
2026-05-22T09:00,Paciran,0.14,10.0,0.0,12920.0,0.4,30.9
2026-05-22T10:00,Paciran,0.14,6.0,0.0,8400.0,0.4,31.0
2026-05-22T11:00,Paciran,0.14,4.5,0.2,9900.0,0.4,31.1
2026-05-22T12:00,Paciran,0.14,9.0,0.1,9900.0,0.6,31.2
2026-05-22T13:00,Paciran,0.14,11.1,1.3,2640.0,0.6,31.3
2026-05-22T14:00,Paciran,0.14,6.6,1.2,5260.0,0.6,31.3
2026-05-22T15:00,Paciran,0.14,6.0,0.2,6980.0,0.5,31.2
2026-05-22T16:00,Paciran,0.14,3.4,0.1,10040.0,0.5,31.2
2026-05-22T17:00,Paciran,0.14,7.2,1.9,2400.0,0.5,31.1
2026-05-22T18:00,Paciran,0.14,8.1,2.0,4080.0,0.5,31.0
2026-05-22T19:00,Paciran,0.14,8.9,0.1,3540.0,0.4,31.0
2026-05-22T20:00,Paciran,0.14,8.4,0.1,9280.0,0.4,31.0
2026-05-22T21:00,Paciran,0.14,4.2,1.5,2600.0,0.4,31.0
2026-05-22T22:00,Paciran,0.14,10.6,1.8,1980.0,0.4,31.0
2026-05-22T23:00,Paciran,0.16,8.4,0.3,5120.0,0.4,31.0
2026-05-23T00:00,Paciran,0.16,6.5,0.0,1060.0,0.4,30.9
2026-05-23T01:00,Paciran,0.18,5.4,0.0,460.0,0.2,30.9
2026-05-23T02:00,Paciran,0.18,5.8,0.0,300.0,0.2,30.9
2026-05-23T03:00,Paciran,0.2,3.5,0.0,280.0,0.2,30.9
2026-05-23T04:00,Paciran,0.2,5.3,0.0,200.0,0.2,30.8
2026-05-23T05:00,Paciran,0.2,6.7,0.0,180.0,0.2,30.8
2026-05-23T06:00,Paciran,0.22,6.5,0.0,180.0,0.2,30.8
2026-05-23T07:00,Paciran,0.22,5.0,0.0,260.0,0.2,30.8
2026-05-23T08:00,Paciran,0.22,7.3,0.0,2320.0,0.2,30.9
2026-05-23T09:00,Paciran,0.22,6.7,0.0,8180.0,0.3,31.0
2026-05-23T10:00,Paciran,0.22,3.6,0.2,4720.0,0.4,31.1
2026-05-23T11:00,Paciran,0.22,2.7,0.2,8480.0,0.4,31.2
2026-05-23T12:00,Paciran,0.2,6.2,0.0,9940.0,0.6,31.4
2026-05-23T13:00,Paciran,0.2,10.7,0.6,3820.0,0.5,31.4
2026-05-23T14:00,Paciran,0.2,7.7,0.9,5120.0,0.5,31.4
2026-05-23T15:00,Paciran,0.2,4.0,0.3,6140.0,0.7,31.4
2026-05-23T16:00,Paciran,0.2,7.1,0.1,7720.0,0.5,31.2
2026-05-23T17:00,Paciran,0.2,6.1,0.1,10040.0,0.5,31.2
2026-05-23T18:00,Paciran,0.18,4.9,0.7,2720.0,0.5,31.1
2026-05-23T19:00,Paciran,0.18,5.2,0.4,6800.0,0.4,31.0
2026-05-23T20:00,Paciran,0.18,6.5,0.0,8040.0,0.4,31.0
2026-05-23T21:00,Paciran,0.18,6.6,0.0,9280.0,0.4,31.0
2026-05-23T22:00,Paciran,0.18,6.9,0.0,10520.0,0.4,31.0
2026-05-23T23:00,Paciran,0.18,7.6,0.0,10560.0,0.4,31.0
2026-05-24T00:00,Paciran,0.16,8.4,0.0,10620.0,0.4,31.0
2026-05-24T01:00,Paciran,0.16,9.0,0.0,10660.0,0.4,31.0
2026-05-24T02:00,Paciran,0.16,9.0,0.0,9560.0,0.2,30.9
2026-05-24T03:00,Paciran,0.14,8.7,0.0,8440.0,0.2,30.9
2026-05-24T04:00,Paciran,0.14,8.1,0.0,7340.0,0.2,30.8
2026-05-24T05:00,Paciran,0.14,7.5,0.0,8320.0,0.2,30.8
2026-05-24T06:00,Paciran,0.14,6.9,0.0,9280.0,0.2,30.8
2026-05-24T07:00,Paciran,0.14,5.4,0.0,10260.0,0.2,30.8
2026-05-24T08:00,Paciran,0.14,2.2,0.0,9480.0,0.3,30.8
2026-05-24T09:00,Paciran,0.12,2.1,0.0,8680.0,0.3,30.9
2026-05-24T10:00,Paciran,0.12,5.3,0.0,7900.0,0.3,31.0
2026-05-24T11:00,Paciran,0.12,7.1,0.9,6560.0,0.3,31.1
2026-05-24T12:00,Paciran,0.12,7.9,0.9,5240.0,0.3,31.2
2026-05-24T13:00,Paciran,0.12,8.1,0.9,3900.0,0.4,31.2
2026-05-24T14:00,Paciran,0.12,7.6,0.5,4420.0,0.4,31.2
2026-05-24T15:00,Paciran,0.1,6.3,0.5,4960.0,0.4,31.2
2026-05-24T16:00,Paciran,0.1,4.5,0.5,5480.0,0.4,31.1
2026-05-24T17:00,Paciran,0.1,3.4,0.4,5800.0,0.4,31.1
2026-05-24T18:00,Paciran,0.1,6.5,0.4,6100.0,0.4,31.0
2026-05-24T19:00,Paciran,0.1,9.3,0.4,6420.0,0.4,31.0
2026-05-24T20:00,Paciran,0.1,9.1,0.0,7780.0,0.3,31.0
2026-05-24T21:00,Paciran,0.1,7.4,0.0,9120.0,0.3,31.0
2026-05-24T22:00,Paciran,0.1,6.1,0.0,10480.0,0.2,31.0
2026-05-24T23:00,Paciran,0.1,5.6,0.0,9040.0,0.2,31.0
2026-05-25T00:00,Paciran,0.1,5.3,0.0,7620.0,0.2,30.9
2026-05-25T01:00,Paciran,0.1,5.5,0.0,6180.0,0.2,30.9
2026-05-25T02:00,Paciran,0.1,6.0,0.0,4240.0,0.2,30.9
2026-05-25T03:00,Paciran,0.08,6.9,0.0,2300.0,0.2,30.9
2026-05-25T04:00,Paciran,0.08,7.4,0.0,360.0,0.2,30.8
2026-05-25T05:00,Paciran,0.08,7.8,0.0,1260.0,0.2,30.8
2026-05-25T06:00,Paciran,0.08,7.8,0.0,2160.0,0.2,30.8
2026-05-25T07:00,Paciran,0.08,7.5,0.0,3060.0,0.2,30.8
2026-05-25T08:00,Paciran,0.08,6.9,0.0,7740.0,0.3,30.8
2026-05-25T09:00,Paciran,0.08,5.6,0.0,12420.0,0.3,30.9
2026-05-25T10:00,Paciran,0.08,3.7,0.0,17100.0,0.3,31.0
2026-05-25T11:00,Paciran,0.08,1.0,0.1,14300.0,0.3,31.1
2026-05-25T12:00,Paciran,0.08,6.2,0.1,11480.0,0.2,31.2
2026-05-25T13:00,Paciran,0.08,8.3,0.1,8680.0,0.2,31.2
2026-05-25T14:00,Paciran,0.08,4.2,1.1,6820.0,0.2,31.2
2026-05-25T15:00,Paciran,0.08,4.1,1.1,4940.0,0.2,31.2
2026-05-25T16:00,Paciran,0.08,9.1,1.1,3080.0,0.2,31.1
2026-05-25T17:00,Paciran,0.08,9.2,0.2,4360.0,0.2,31.1
2026-05-25T18:00,Paciran,0.08,7.2,0.2,5660.0,0.2,31.0
2026-05-25T19:00,Paciran,0.08,5.9,0.2,6940.0,0.4,31.0
2026-05-25T20:00,Paciran,0.08,6.6,0.0,4820.0,0.4,31.0
2026-05-25T21:00,Paciran,0.08,7.5,0.0,2720.0,0.3,31.0
2026-05-25T22:00,Paciran,0.08,7.8,0.0,600.0,0.3,31.0
2026-05-25T23:00,Paciran,0.08,6.5,0.0,540.0,0.3,31.0
2026-05-26T00:00,Paciran,0.08,4.5,0.0,480.0,0.2,30.9
2026-05-26T01:00,Paciran,0.08,3.1,0.0,420.0,0.2,30.9
2026-05-26T02:00,Paciran,0.08,4.9,0.0,320.0,0.2,30.9
2026-05-26T03:00,Paciran,0.06,4.8,0.0,320.0,0.2,30.9
2026-05-26T04:00,Paciran,0.06,4.9,0.0,340.0,0.2,30.8
2026-05-26T05:00,Paciran,0.06,5.4,0.0,340.0,0.2,30.8
2026-05-26T06:00,Paciran,0.06,5.5,0.0,360.0,0.2,30.8
2026-05-26T07:00,Paciran,0.06,4.8,0.0,360.0,0.2,30.8
2026-05-26T08:00,Paciran,0.06,2.8,0.2,1980.0,0.2,30.9
2026-05-26T09:00,Paciran,0.08,0.3,0.2,3620.0,0.3,31.0
2026-05-26T10:00,Paciran,0.08,4.1,0.2,5240.0,0.3,31.0
2026-05-26T11:00,Paciran,0.08,7.7,0.2,6860.0,0.3,31.1
2026-05-26T12:00,Paciran,0.1,10.4,0.2,8500.0,0.3,31.2
2026-05-26T13:00,Paciran,0.1,11.8,0.2,10120.0,0.4,31.3
2026-05-26T14:00,Paciran,0.12,11.5,1.7,8720.0,0.4,31.3
2026-05-26T15:00,Paciran,0.12,10.4,1.7,7300.0,0.4,31.2
2026-05-26T16:00,Paciran,0.14,9.4,1.7,5900.0,0.4,31.2
2026-05-26T17:00,Paciran,0.16,9.2,1.7,4500.0,0.4,31.1
2026-05-26T18:00,Paciran,0.2,9.7,1.7,3080.0,0.5,31.0
2026-05-26T19:00,Paciran,0.22,10.4,1.7,1680.0,0.3,31.0
2026-05-26T20:00,Paciran,0.24,10.6,0.5,1440.0,0.3,31.0
