time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Pamekasan,0.08,4.7,0.0,18820.0,0.5,30.7
2026-05-20T01:00,Pamekasan,0.08,3.1,0.0,19000.0,0.4,30.7
2026-05-20T02:00,Pamekasan,0.08,3.6,0.0,16280.0,0.2,30.7
2026-05-20T03:00,Pamekasan,0.06,3.5,0.0,16260.0,0.2,30.7
2026-05-20T04:00,Pamekasan,0.06,3.3,0.0,16640.0,0.0,30.7
2026-05-20T05:00,Pamekasan,0.06,4.2,0.0,16120.0,0.0,30.7
2026-05-20T06:00,Pamekasan,0.06,7.2,0.0,16260.0,0.0,30.8
2026-05-20T07:00,Pamekasan,0.06,7.7,0.0,21680.0,0.2,30.8
2026-05-20T08:00,Pamekasan,0.06,10.0,0.0,14320.0,0.4,30.8
2026-05-20T09:00,Pamekasan,0.06,11.2,0.1,8300.0,0.5,30.9
2026-05-20T10:00,Pamekasan,0.06,11.9,0.2,5360.0,0.5,30.9
2026-05-20T11:00,Pamekasan,0.1,12.3,0.5,4500.0,0.6,31.0
2026-05-20T12:00,Pamekasan,0.12,11.3,0.7,4760.0,0.4,31.0
2026-05-20T13:00,Pamekasan,0.16,13.0,1.0,2860.0,0.3,31.0
2026-05-20T14:00,Pamekasan,0.16,8.4,1.5,4360.0,0.2,31.0
2026-05-20T15:00,Pamekasan,0.18,7.9,0.3,12500.0,0.4,31.0
2026-05-20T16:00,Pamekasan,0.18,9.9,0.0,9920.0,0.5,31.0
2026-05-20T17:00,Pamekasan,0.18,7.2,0.2,8440.0,0.4,31.0
2026-05-20T18:00,Pamekasan,0.18,3.9,0.1,15380.0,0.4,30.9
2026-05-20T19:00,Pamekasan,0.18,3.4,0.0,21140.0,0.4,30.9
2026-05-20T20:00,Pamekasan,0.18,4.6,0.0,11220.0,0.3,30.9
2026-05-20T21:00,Pamekasan,0.2,2.2,0.1,6020.0,0.4,30.9
2026-05-20T22:00,Pamekasan,0.2,2.2,0.3,5220.0,0.6,30.9
2026-05-20T23:00,Pamekasan,0.2,3.8,0.2,8820.0,0.6,30.9
2026-05-21T00:00,Pamekasan,0.2,4.9,0.0,12000.0,0.6,30.8
