time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Pasuruan,0.04,3.9,0.0,14820.0,0.3,31.5
2026-05-20T01:00,Pasuruan,0.04,3.6,0.0,13520.0,0.3,31.5
2026-05-20T02:00,Pasuruan,0.04,4.6,0.0,14840.0,0.3,31.5
2026-05-20T03:00,Pasuruan,0.04,3.6,0.0,17000.0,0.2,31.5
2026-05-20T04:00,Pasuruan,0.04,3.8,0.0,7660.0,0.0,31.5
2026-05-20T05:00,Pasuruan,0.04,4.4,0.0,2800.0,0.0,31.5
2026-05-20T06:00,Pasuruan,0.04,5.0,0.0,1780.0,0.0,31.5
2026-05-20T07:00,Pasuruan,0.04,4.5,0.0,18620.0,0.0,31.5
2026-05-20T08:00,Pasuruan,0.04,1.4,0.1,6020.0,0.0,31.6
2026-05-20T09:00,Pasuruan,0.04,6.3,0.2,13960.0,0.2,31.6
2026-05-20T10:00,Pasuruan,0.04,7.7,0.0,15240.0,0.2,31.7
2026-05-20T11:00,Pasuruan,0.04,10.9,0.0,23840.0,0.4,31.8
2026-05-20T12:00,Pasuruan,0.04,12.2,0.0,23840.0,0.4,31.8
2026-05-20T13:00,Pasuruan,0.04,11.7,0.0,16360.0,0.4,31.8
2026-05-20T14:00,Pasuruan,0.06,13.0,0.1,8960.0,0.3,31.8
2026-05-20T15:00,Pasuruan,0.1,13.4,0.2,5460.0,0.2,31.8
2026-05-20T16:00,Pasuruan,0.12,14.2,0.8,2880.0,0.2,31.8
2026-05-20T17:00,Pasuruan,0.14,7.6,0.8,4320.0,0.3,31.7
2026-05-20T18:00,Pasuruan,0.16,8.9,0.4,7660.0,0.3,31.6
2026-05-20T19:00,Pasuruan,0.18,2.9,0.0,10320.0,0.3,31.6
2026-05-20T20:00,Pasuruan,0.18,3.7,0.3,5260.0,0.3,31.6
2026-05-20T21:00,Pasuruan,0.18,4.2,0.3,5760.0,0.2,31.6
2026-05-20T22:00,Pasuruan,0.18,2.7,0.1,9380.0,0.0,31.6
