time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Popoh,1.34,1.9,0.0,320.0,0.4,28.5
2026-05-20T01:00,Popoh,1.34,3.1,0.0,300.0,0.4,28.5
2026-05-20T02:00,Popoh,1.34,3.7,0.0,300.0,0.3,28.4
2026-05-20T03:00,Popoh,1.32,3.3,0.0,300.0,0.3,28.4
2026-05-20T04:00,Popoh,1.32,2.7,0.0,320.0,0.2,28.4
2026-05-20T05:00,Popoh,1.32,2.8,0.0,340.0,0.2,28.3
2026-05-20T06:00,Popoh,1.3,4.3,0.0,340.0,0.2,28.3
2026-05-20T07:00,Popoh,1.3,4.2,0.0,900.0,0.0,28.3
2026-05-20T08:00,Popoh,1.3,5.6,0.0,6560.0,0.0,28.4
2026-05-20T09:00,Popoh,1.28,7.0,0.0,12960.0,0.0,28.5
2026-05-20T10:00,Popoh,1.28,9.3,0.0,15760.0,0.2,28.6
2026-05-20T11:00,Popoh,1.28,9.5,0.1,8460.0,0.4,28.7
2026-05-20T12:00,Popoh,1.26,5.7,0.2,6240.0,0.5,28.8
2026-05-20T13:00,Popoh,1.26,3.6,0.2,7260.0,0.5,28.9
2026-05-20T14:00,Popoh,1.26,4.9,0.5,4800.0,0.5,28.9
2026-05-20T15:00,Popoh,1.24,7.0,0.9,3500.0,0.7,28.9
2026-05-20T16:00,Popoh,1.24,6.6,0.5,6420.0,0.7,28.8
2026-05-20T17:00,Popoh,1.24,1.9,0.4,5000.0,0.7,28.8
2026-05-20T18:00,Popoh,1.24,0.5,0.3,460.0,0.5,28.8
2026-05-20T19:00,Popoh,1.24,2.6,0.1,1240.0,0.6,28.7
2026-05-20T20:00,Popoh,1.22,0.6,0.0,6100.0,0.6,28.7
2026-05-20T21:00,Popoh,1.22,0.6,0.0,6340.0,0.6,28.6
2026-05-20T22:00,Popoh,1.2,1.9,0.0,7700.0,0.5,28.6
2026-05-20T23:00,Popoh,1.18,2.3,0.0,7900.0,0.5,28.6
2026-05-21T00:00,Popoh,1.18,2.3,0.0,3560.0,0.5,28.6
2026-05-21T01:00,Popoh,1.16,2.4,0.0,1520.0,0.5,28.5
2026-05-21T02:00,Popoh,1.16,2.1,0.0,960.0,0.4,28.5
2026-05-21T03:00,Popoh,1.16,1.8,0.0,720.0,0.4,28.5
2026-05-21T04:00,Popoh,1.16,2.8,0.0,760.0,0.4,28.4
2026-05-21T05:00,Popoh,1.16,3.2,0.0,460.0,0.4,28.4
2026-05-21T06:00,Popoh,1.14,4.7,0.0,300.0,0.2,28.4
2026-05-21T07:00,Popoh,1.14,6.1,0.0,400.0,0.2,28.4
2026-05-21T08:00,Popoh,1.14,6.9,0.0,700.0,0.3,28.5
2026-05-21T09:00,Popoh,1.14,7.5,0.0,3400.0,0.3,28.6
2026-05-21T10:00,Popoh,1.14,8.8,0.0,6540.0,0.3,28.8
2026-05-21T11:00,Popoh,1.14,9.2,0.0,12500.0,0.3,29.0
2026-05-21T12:00,Popoh,1.12,8.7,0.4,3900.0,0.3,29.1
2026-05-21T13:00,Popoh,1.12,2.7,0.7,5440.0,0.4,29.2
2026-05-21T14:00,Popoh,1.12,5.6,0.4,5400.0,0.4,29.2
2026-05-21T15:00,Popoh,1.12,7.8,3.1,2880.0,0.4,29.2
2026-05-21T16:00,Popoh,1.12,3.1,1.7,3360.0,0.4,29.2
2026-05-21T17:00,Popoh,1.12,4.4,0.5,4400.0,0.4,29.1
