time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Puger,0.96,1.5,0.0,9520.0,1.3,28.5
2026-05-20T01:00,Puger,0.96,2.2,0.0,6380.0,1.1,28.5
2026-05-20T02:00,Puger,0.96,1.0,0.0,1280.0,1.1,28.5
2026-05-20T03:00,Puger,0.94,2.8,0.0,840.0,1.1,28.5
2026-05-20T04:00,Puger,0.94,3.0,0.0,860.0,1.1,28.5
2026-05-20T05:00,Puger,0.94,3.1,0.0,1240.0,1.1,28.5
2026-05-20T06:00,Puger,0.94,5.6,0.0,2440.0,1.1,28.5
2026-05-20T07:00,Puger,0.94,4.0,0.0,16320.0,1.2,28.5
2026-05-20T08:00,Puger,0.94,3.4,0.0,21220.0,1.2,28.6
2026-05-20T09:00,Puger,0.94,3.1,0.0,21220.0,1.4,28.8
2026-05-20T10:00,Puger,0.94,2.4,0.0,17080.0,1.2,29.0
2026-05-20T11:00,Puger,0.94,4.8,0.0,17000.0,1.1,29.1
2026-05-20T12:00,Puger,0.92,7.9,0.0,12500.0,0.9,29.3
2026-05-20T13:00,Puger,0.92,10.1,0.1,9760.0,0.7,29.4
2026-05-20T14:00,Puger,0.92,13.7,0.1,12800.0,0.7,29.4
2026-05-20T15:00,Puger,0.9,15.1,0.1,8380.0,0.6,29.4
2026-05-20T16:00,Puger,0.9,6.4,0.3,5740.0,0.6,29.3
2026-05-20T17:00,Puger,0.9,3.8,2.2,3900.0,0.7,29.2
2026-05-20T18:00,Puger,0.9,2.2,0.3,5440.0,0.7,29.1
2026-05-20T19:00,Puger,0.9,3.9,0.0,1240.0,0.7,29.1
2026-05-20T20:00,Puger,0.9,5.4,0.0,900.0,0.9,29.0
2026-05-20T21:00,Puger,0.88,4.8,0.0,980.0,0.9,29.0
2026-05-20T22:00,Puger,0.88,4.8,0.0,1340.0,1.0,29.0
2026-05-20T23:00,Puger,0.88,4.5,0.0,1720.0,1.0,28.9
2026-05-21T00:00,Puger,0.86,3.4,0.0,2480.0,1.0,28.9
2026-05-21T01:00,Puger,0.86,3.1,0.0,3400.0,0.9,28.9
2026-05-21T02:00,Puger,0.86,3.9,0.0,4480.0,0.7,28.8
2026-05-21T03:00,Puger,0.84,3.5,0.0,5740.0,0.7,28.8
2026-05-21T04:00,Puger,0.84,4.4,0.0,5780.0,0.7,28.7
2026-05-21T05:00,Puger,0.84,4.7,0.0,6660.0,0.7,28.6
2026-05-21T06:00,Puger,0.82,5.3,0.0,7420.0,0.8,28.6
2026-05-21T07:00,Puger,0.82,4.0,0.0,13740.0,1.0,28.7
2026-05-21T08:00,Puger,0.82,3.6,0.0,18640.0,1.0,28.8
2026-05-21T09:00,Puger,0.82,2.5,0.0,21260.0,1.0,29.0
2026-05-21T10:00,Puger,0.82,0.8,0.0,21260.0,1.0,29.2
2026-05-21T11:00,Puger,0.82,2.9,0.0,14360.0,0.9,29.4
2026-05-21T12:00,Puger,0.8,6.7,0.1,9160.0,0.9,29.5
2026-05-21T13:00,Puger,0.8,9.0,0.2,5040.0,0.6,29.6
