time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Sampang,0.06,4.0,0.0,12200.0,0.6,31.0
2026-05-20T01:00,Sampang,0.06,4.1,0.0,11020.0,0.6,31.0
2026-05-20T02:00,Sampang,0.06,2.4,0.0,8600.0,0.4,31.0
2026-05-20T03:00,Sampang,0.04,2.6,0.0,9060.0,0.3,30.9
2026-05-20T04:00,Sampang,0.04,2.8,0.0,12300.0,0.2,30.9
2026-05-20T05:00,Sampang,0.04,5.3,0.0,12420.0,0.0,30.9
2026-05-20T06:00,Sampang,0.04,6.7,0.0,12760.0,0.0,30.9
2026-05-20T07:00,Sampang,0.04,4.0,0.0,17620.0,0.0,30.9
2026-05-20T08:00,Sampang,0.04,5.0,0.0,12940.0,0.2,30.9
2026-05-20T09:00,Sampang,0.04,6.3,0.1,9720.0,0.4,31.0
2026-05-20T10:00,Sampang,0.04,8.6,0.1,9020.0,0.4,31.0
2026-05-20T11:00,Sampang,0.06,9.4,0.2,6680.0,0.4,31.1
2026-05-20T12:00,Sampang,0.06,12.1,0.3,5900.0,0.4,31.2
2026-05-20T13:00,Sampang,0.08,11.8,0.3,8360.0,0.3,31.2
2026-05-20T14:00,Sampang,0.1,9.8,0.1,10060.0,0.0,31.2
2026-05-20T15:00,Sampang,0.12,10.7,1.1,3100.0,0.2,31.2
2026-05-20T16:00,Sampang,0.14,4.9,1.1,5160.0,0.4,31.2
2026-05-20T17:00,Sampang,0.14,1.7,0.1,12040.0,0.6,31.2
2026-05-20T18:00,Sampang,0.12,2.5,0.5,8120.0,0.4,31.1
2026-05-20T19:00,Sampang,0.12,2.8,0.2,2680.0,0.4,31.1
2026-05-20T20:00,Sampang,0.12,5.6,2.1,4220.0,0.2,31.1
2026-05-20T21:00,Sampang,0.14,3.2,0.2,8340.0,0.0,31.1
2026-05-20T22:00,Sampang,0.14,2.4,0.0,11260.0,0.4,31.1
2026-05-20T23:00,Sampang,0.14,2.7,0.0,8800.0,0.4,31.1
2026-05-21T00:00,Sampang,0.14,1.8,0.0,8920.0,0.5,31.0
2026-05-21T01:00,Sampang,0.14,0.6,0.0,12420.0,0.5,31.0
2026-05-21T02:00,Sampang,0.14,1.3,0.0,11580.0,0.4,31.0
2026-05-21T03:00,Sampang,0.14,2.9,0.0,13040.0,0.2,31.0
2026-05-21T04:00,Sampang,0.14,5.3,0.0,12240.0,0.2,31.0
2026-05-21T05:00,Sampang,0.14,6.9,0.0,12520.0,0.0,30.9
2026-05-21T06:00,Sampang,0.14,8.2,0.0,12840.0,0.0,30.9
2026-05-21T07:00,Sampang,0.14,8.9,0.0,15540.0,0.0,30.9
