time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Bangkalan,0.04,8.5,0.0,14100.0,0.9,31.5
2026-05-20T01:00,Bangkalan,0.04,7.0,0.0,14100.0,1.8,31.5
2026-05-20T02:00,Bangkalan,0.04,7.0,0.0,11680.0,2.4,31.4
2026-05-20T03:00,Bangkalan,0.04,8.5,0.0,11680.0,2.2,31.4
2026-05-20T04:00,Bangkalan,0.04,8.7,0.0,11680.0,1.7,31.4
2026-05-20T05:00,Bangkalan,0.04,8.7,0.0,11680.0,0.9,31.3
2026-05-20T06:00,Bangkalan,0.04,9.1,0.0,11680.0,0.3,31.3
2026-05-20T07:00,Bangkalan,0.04,6.6,0.0,14100.0,0.6,31.3
2026-05-20T08:00,Bangkalan,0.04,5.8,0.0,18540.0,1.2,31.4
2026-05-20T09:00,Bangkalan,0.04,7.0,0.0,14460.0,1.4,31.4
2026-05-20T10:00,Bangkalan,0.04,5.9,0.0,17380.0,1.2,31.5
2026-05-20T11:00,Bangkalan,0.04,5.5,0.0,20700.0,0.8,31.5
2026-05-20T12:00,Bangkalan,0.04,9.4,0.2,5660.0,0.4,31.6
2026-05-20T13:00,Bangkalan,0.04,13.5,0.3,6420.0,0.9,31.6
2026-05-20T14:00,Bangkalan,0.08,15.3,0.2,7540.0,1.3,31.6
2026-05-20T15:00,Bangkalan,0.1,13.4,0.2,7900.0,1.1,31.6
2026-05-20T16:00,Bangkalan,0.14,11.3,0.2,8440.0,0.6,31.6
2026-05-20T17:00,Bangkalan,0.14,8.9,0.1,13880.0,0.4,31.6
2026-05-20T18:00,Bangkalan,0.12,7.5,0.0,15440.0,0.8,31.6
2026-05-20T19:00,Bangkalan,0.12,6.0,0.0,16080.0,1.5,31.6
2026-05-20T20:00,Bangkalan,0.1,9.3,0.0,12880.0,2.1,31.6
2026-05-20T21:00,Bangkalan,0.1,11.5,0.0,11040.0,2.1,31.5
2026-05-20T22:00,Bangkalan,0.08,10.0,0.0,11040.0,1.7,31.5
2026-05-20T23:00,Bangkalan,0.08,7.7,0.0,11620.0,0.9,31.5
2026-05-21T00:00,Bangkalan,0.08,7.1,0.0,11720.0,0.0,31.5
2026-05-21T01:00,Bangkalan,0.08,8.2,0.0,11720.0,1.1,31.5
2026-05-21T02:00,Bangkalan,0.08,8.1,0.0,11720.0,1.8,31.4
2026-05-21T03:00,Bangkalan,0.08,8.8,0.0,14140.0,2.2,31.4
2026-05-21T04:00,Bangkalan,0.08,9.4,0.0,14140.0,2.0,31.4
2026-05-21T05:00,Bangkalan,0.08,8.6,0.0,11720.0,1.6,31.3
2026-05-21T06:00,Bangkalan,0.06,9.9,0.0,11740.0,0.9,31.3
2026-05-21T07:00,Bangkalan,0.06,8.8,0.0,14160.0,0.3,31.3
2026-05-21T08:00,Bangkalan,0.06,9.2,0.0,14860.0,0.6,31.4
2026-05-21T09:00,Bangkalan,0.06,9.3,0.2,8160.0,1.2,31.5
2026-05-21T10:00,Bangkalan,0.06,8.0,0.1,11920.0,1.4,31.5
2026-05-21T11:00,Bangkalan,0.06,6.6,0.0,11780.0,1.2,31.6
2026-05-21T12:00,Bangkalan,0.06,9.9,0.0,20760.0,0.8,31.8
2026-05-21T13:00,Bangkalan,0.06,6.7,0.4,6660.0,0.4,31.8
2026-05-21T14:00,Bangkalan,0.06,7.6,0.3,4900.0,0.6,31.8
