time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Blitar Selatan,1.18,6.7,0.0,400.0,0.6,28.6
2026-05-20T01:00,Blitar Selatan,1.18,5.7,0.0,400.0,0.6,28.6
2026-05-20T02:00,Blitar Selatan,1.18,5.0,0.0,440.0,0.6,28.5
2026-05-20T03:00,Blitar Selatan,1.16,5.9,0.0,420.0,0.4,28.5
2026-05-20T04:00,Blitar Selatan,1.16,5.6,0.0,480.0,0.4,28.5
2026-05-20T05:00,Blitar Selatan,1.16,5.4,0.0,500.0,0.3,28.5
2026-05-20T06:00,Blitar Selatan,1.16,5.6,0.0,540.0,0.3,28.5
2026-05-20T07:00,Blitar Selatan,1.16,6.0,0.0,14140.0,0.4,28.5
2026-05-20T08:00,Blitar Selatan,1.16,4.4,0.0,18580.0,0.4,28.5
2026-05-20T09:00,Blitar Selatan,1.16,2.1,0.0,18940.0,0.3,28.6
2026-05-20T10:00,Blitar Selatan,1.16,5.3,0.0,19160.0,0.3,28.8
2026-05-20T11:00,Blitar Selatan,1.16,10.1,0.1,7140.0,0.4,28.9
2026-05-20T12:00,Blitar Selatan,1.14,14.8,0.1,8920.0,0.5,29.0
2026-05-20T13:00,Blitar Selatan,1.14,15.9,0.1,5020.0,0.6,29.0
2026-05-20T14:00,Blitar Selatan,1.14,17.0,0.1,9720.0,0.7,29.0
2026-05-20T15:00,Blitar Selatan,1.14,15.8,0.0,10920.0,0.7,29.0
2026-05-20T16:00,Blitar Selatan,1.14,14.4,0.0,11480.0,0.8,29.0
2026-05-20T17:00,Blitar Selatan,1.14,14.4,0.0,14340.0,0.8,29.0
2026-05-20T18:00,Blitar Selatan,1.12,11.8,0.0,5620.0,0.6,29.0
2026-05-20T19:00,Blitar Selatan,1.12,10.4,0.2,10060.0,0.6,28.9
2026-05-20T20:00,Blitar Selatan,1.1,8.8,0.0,12140.0,0.6,28.9
2026-05-20T21:00,Blitar Selatan,1.1,5.2,0.0,13460.0,0.4,28.9
2026-05-20T22:00,Blitar Selatan,1.08,4.0,0.0,11640.0,0.4,28.9
2026-05-20T23:00,Blitar Selatan,1.08,4.2,0.0,8420.0,0.4,28.9
2026-05-21T00:00,Blitar Selatan,1.06,5.6,0.0,2500.0,0.4,28.8
2026-05-21T01:00,Blitar Selatan,1.06,5.6,0.0,920.0,0.4,28.8
2026-05-21T02:00,Blitar Selatan,1.06,6.4,0.0,660.0,0.4,28.8
2026-05-21T03:00,Blitar Selatan,1.04,5.7,0.0,440.0,0.4,28.8
2026-05-21T04:00,Blitar Selatan,1.04,6.4,0.0,260.0,0.2,28.7
2026-05-21T05:00,Blitar Selatan,1.04,5.8,0.0,240.0,0.2,28.6
2026-05-21T06:00,Blitar Selatan,1.04,6.3,0.0,200.0,0.2,28.6
2026-05-21T07:00,Blitar Selatan,1.04,7.3,0.0,380.0,0.2,28.7
2026-05-21T08:00,Blitar Selatan,1.04,5.1,0.0,8800.0,0.0,28.8
2026-05-21T09:00,Blitar Selatan,1.04,1.1,0.0,13340.0,0.0,28.9
2026-05-21T10:00,Blitar Selatan,1.04,4.1,0.0,7160.0,0.0,29.0
2026-05-21T11:00,Blitar Selatan,1.04,9.7,0.0,7920.0,0.2,29.2
2026-05-21T12:00,Blitar Selatan,1.04,10.8,0.0,10840.0,0.3,29.4
2026-05-21T13:00,Blitar Selatan,1.04,10.6,0.0,6960.0,0.4,29.4
2026-05-21T14:00,Blitar Selatan,1.04,6.7,0.6,4320.0,0.6,29.4
2026-05-21T15:00,Blitar Selatan,1.04,1.9,2.2,3500.0,0.8,29.4
2026-05-21T16:00,Blitar Selatan,1.04,1.2,1.3,3940.0,0.9,29.4
2026-05-21T17:00,Blitar Selatan,1.04,11.0,0.4,6680.0,1.0,29.3
2026-05-21T18:00,Blitar Selatan,1.04,7.8,0.1,9540.0,0.8,29.2
2026-05-21T19:00,Blitar Selatan,1.04,5.6,0.0,11260.0,0.5,29.2
2026-05-21T20:00,Blitar Selatan,1.04,2.2,0.0,1780.0,0.5,29.1
2026-05-21T21:00,Blitar Selatan,1.02,3.2,0.0,580.0,0.5,29.1
2026-05-21T22:00,Blitar Selatan,1.02,3.9,0.0,320.0,0.5,29.1
2026-05-21T23:00,Blitar Selatan,1.02,3.1,0.0,240.0,0.5,29.0
2026-05-22T00:00,Blitar Selatan,1.02,2.6,0.0,240.0,0.5,29.0
2026-05-22T01:00,Blitar Selatan,1.02,1.8,0.0,220.0,0.5,29.0
2026-05-22T02:00,Blitar Selatan,1.02,2.7,0.0,300.0,0.5,29.0
