time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Prigi,1.32,6.2,0.0,8400.0,0.5,28.8
2026-05-20T01:00,Prigi,1.32,4.4,0.0,8440.0,0.6,28.7
2026-05-20T02:00,Prigi,1.32,5.0,0.0,8460.0,0.7,28.6
2026-05-20T03:00,Prigi,1.32,5.4,0.0,8480.0,0.7,28.6
2026-05-20T04:00,Prigi,1.32,4.5,0.0,12200.0,0.6,28.6
2026-05-20T05:00,Prigi,1.3,5.9,0.0,8460.0,0.5,28.5
2026-05-20T06:00,Prigi,1.3,6.0,0.0,12160.0,0.4,28.5
2026-05-20T07:00,Prigi,1.28,6.1,0.0,12100.0,0.6,28.5
2026-05-20T08:00,Prigi,1.28,6.5,0.0,14580.0,0.6,28.6
2026-05-20T09:00,Prigi,1.26,7.3,0.0,19140.0,0.4,28.7
2026-05-20T10:00,Prigi,1.26,7.1,0.0,15220.0,0.4,28.8
2026-05-20T11:00,Prigi,1.26,7.2,0.0,15120.0,0.6,28.9
2026-05-20T12:00,Prigi,1.24,8.3,0.1,8820.0,0.9,29.0
2026-05-20T13:00,Prigi,1.24,10.9,0.4,6700.0,1.1,29.0
2026-05-20T14:00,Prigi,1.22,8.8,1.1,4080.0,1.3,29.0
2026-05-20T15:00,Prigi,1.22,10.8,0.7,7040.0,1.5,29.0
2026-05-20T16:00,Prigi,1.2,9.7,0.1,10360.0,1.3,29.0
2026-05-20T17:00,Prigi,1.2,4.5,0.0,12240.0,0.9,29.0
2026-05-20T18:00,Prigi,1.18,3.5,0.3,4940.0,0.5,29.0
2026-05-20T19:00,Prigi,1.18,1.3,0.1,6980.0,0.3,28.9
2026-05-20T20:00,Prigi,1.18,0.6,0.0,7800.0,0.2,28.9
2026-05-20T21:00,Prigi,1.16,2.1,0.0,8160.0,0.3,28.9
2026-05-20T22:00,Prigi,1.16,3.3,0.0,8200.0,0.2,28.9
2026-05-20T23:00,Prigi,1.16,5.1,0.0,5940.0,0.3,28.8
2026-05-21T00:00,Prigi,1.14,6.8,0.0,5660.0,0.3,28.8
2026-05-21T01:00,Prigi,1.14,7.2,0.0,12100.0,0.4,28.8
2026-05-21T02:00,Prigi,1.14,7.4,0.0,7860.0,0.5,28.7
2026-05-21T03:00,Prigi,1.14,6.6,0.0,8000.0,0.5,28.6
2026-05-21T04:00,Prigi,1.14,6.9,0.0,8080.0,0.5,28.6
2026-05-21T05:00,Prigi,1.14,6.4,0.0,8120.0,0.4,28.6
2026-05-21T06:00,Prigi,1.12,6.9,0.0,8220.0,0.3,28.5
2026-05-21T07:00,Prigi,1.12,6.7,0.0,14200.0,0.3,28.6
2026-05-21T08:00,Prigi,1.12,6.2,0.0,15960.0,0.5,28.7
2026-05-21T09:00,Prigi,1.12,5.9,0.0,16540.0,0.5,28.8
2026-05-21T10:00,Prigi,1.12,5.6,0.0,15160.0,0.5,29.0
2026-05-21T11:00,Prigi,1.12,4.3,0.0,21400.0,0.2,29.1
2026-05-21T12:00,Prigi,1.12,4.4,0.1,6980.0,0.3,29.2
2026-05-21T13:00,Prigi,1.12,3.9,0.6,4180.0,0.4,29.4
2026-05-21T14:00,Prigi,1.12,6.6,0.8,4120.0,0.4,29.4
2026-05-21T15:00,Prigi,1.12,4.7,2.1,3040.0,0.6,29.4
2026-05-21T16:00,Prigi,1.12,3.1,2.6,2660.0,0.7,29.3
2026-05-21T17:00,Prigi,1.12,0.9,1.1,4500.0,0.6,29.2
2026-05-21T18:00,Prigi,1.14,1.4,0.2,7180.0,0.4,29.1
2026-05-21T19:00,Prigi,1.14,2.4,0.0,3200.0,0.2,29.1
2026-05-21T20:00,Prigi,1.14,2.3,0.0,1640.0,0.4,29.0
2026-05-21T21:00,Prigi,1.12,5.3,0.0,2360.0,0.6,29.0
2026-05-21T22:00,Prigi,1.12,3.9,0.0,3160.0,0.8,28.9
2026-05-21T23:00,Prigi,1.12,1.6,0.0,5560.0,0.7,28.8
2026-05-22T00:00,Prigi,1.12,1.3,0.0,8640.0,0.6,28.7
2026-05-22T01:00,Prigi,1.12,2.7,0.0,8240.0,0.6,28.6
2026-05-22T02:00,Prigi,1.12,5.8,0.0,6900.0,0.4,28.6
2026-05-22T03:00,Prigi,1.12,5.5,0.0,2900.0,0.4,28.5
2026-05-22T04:00,Prigi,1.12,4.6,0.0,2400.0,0.2,28.5
2026-05-22T05:00,Prigi,1.12,2.7,0.0,2140.0,0.2,28.4
2026-05-22T06:00,Prigi,1.1,1.7,0.0,7680.0,0.2,28.4
2026-05-22T07:00,Prigi,1.1,4.6,0.0,7380.0,0.4,28.4
2026-05-22T08:00,Prigi,1.1,5.2,0.1,5680.0,0.7,28.5
2026-05-22T09:00,Prigi,1.1,7.7,0.2,5640.0,0.7,28.5
2026-05-22T10:00,Prigi,1.1,8.1,0.3,5400.0,0.7,28.6
2026-05-22T11:00,Prigi,1.1,9.9,0.1,10760.0,0.7,28.8
2026-05-22T12:00,Prigi,1.08,11.7,0.1,11160.0,0.6,28.9
2026-05-22T13:00,Prigi,1.08,11.7,0.1,9220.0,0.4,28.9
2026-05-22T14:00,Prigi,1.08,12.0,0.1,12260.0,0.4,28.9
2026-05-22T15:00,Prigi,1.06,11.4,0.0,14800.0,0.4,28.9
2026-05-22T16:00,Prigi,1.06,9.9,0.0,13180.0,0.5,28.8
2026-05-22T17:00,Prigi,1.06,8.2,0.0,12060.0,0.4,28.8
2026-05-22T18:00,Prigi,1.04,6.2,0.1,8300.0,0.2,28.6
2026-05-22T19:00,Prigi,1.04,5.4,0.1,6800.0,0.2,28.6
2026-05-22T20:00,Prigi,1.04,1.8,0.1,8620.0,0.6,28.5
2026-05-22T21:00,Prigi,1.04,1.0,0.0,10380.0,0.7,28.5
