time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Selat Bali,0.26,8.6,0.0,5780.0,2.4,30.2
2026-05-20T01:00,Selat Bali,0.26,8.6,0.0,1920.0,1.8,30.2
2026-05-20T02:00,Selat Bali,0.26,7.7,0.0,2220.0,2.2,30.2
2026-05-20T03:00,Selat Bali,0.26,7.1,0.0,3100.0,4.4,30.1
2026-05-20T04:00,Selat Bali,0.26,8.6,0.0,10280.0,6.8,30.1
2026-05-20T05:00,Selat Bali,0.26,8.6,0.0,14140.0,8.3,30.1
2026-05-20T06:00,Selat Bali,0.28,8.6,0.0,3440.0,8.6,30.1
2026-05-20T07:00,Selat Bali,0.28,6.4,0.0,23180.0,7.9,30.1
2026-05-20T08:00,Selat Bali,0.28,2.3,0.0,26460.0,6.3,30.2
2026-05-20T09:00,Selat Bali,0.3,2.8,0.0,26460.0,4.2,30.2
2026-05-20T10:00,Selat Bali,0.3,7.8,0.0,29020.0,2.4,30.4
2026-05-20T11:00,Selat Bali,0.32,13.0,0.0,26460.0,1.9,30.5
2026-05-20T12:00,Selat Bali,0.32,14.9,0.0,26460.0,1.7,30.5
2026-05-20T13:00,Selat Bali,0.34,17.2,0.0,26460.0,1.7,30.5
2026-05-20T14:00,Selat Bali,0.34,16.6,0.2,5480.0,2.4,30.5
2026-05-20T15:00,Selat Bali,0.34,14.3,0.2,8560.0,4.2,30.5
2026-05-20T16:00,Selat Bali,0.34,14.2,0.3,6320.0,6.3,30.5
2026-05-20T17:00,Selat Bali,0.34,10.3,0.2,8420.0,7.7,30.4
2026-05-20T18:00,Selat Bali,0.36,4.9,0.2,10960.0,8.1,30.4
2026-05-20T19:00,Selat Bali,0.36,4.0,0.0,13040.0,7.4,30.3
2026-05-20T20:00,Selat Bali,0.36,8.7,0.1,9780.0,5.8,30.2
2026-05-20T21:00,Selat Bali,0.36,8.0,0.1,10460.0,3.6,30.2
2026-05-20T22:00,Selat Bali,0.36,8.3,0.1,10120.0,2.1,30.2
2026-05-20T23:00,Selat Bali,0.36,9.4,0.1,9200.0,2.3,30.2
2026-05-21T00:00,Selat Bali,0.36,10.3,0.1,8800.0,2.6,30.2
2026-05-21T01:00,Selat Bali,0.36,11.8,0.1,7580.0,2.3,30.2
2026-05-21T02:00,Selat Bali,0.36,11.3,0.1,10240.0,1.6,30.2
2026-05-21T03:00,Selat Bali,0.36,9.7,0.1,11000.0,2.4,30.1
2026-05-21T04:00,Selat Bali,0.36,8.4,0.1,9100.0,4.7,30.1
2026-05-21T05:00,Selat Bali,0.36,9.4,0.1,8900.0,6.8,30.1
2026-05-21T06:00,Selat Bali,0.36,9.5,0.1,12880.0,7.9,30.1
2026-05-21T07:00,Selat Bali,0.36,10.4,0.0,12800.0,8.1,30.1
2026-05-21T08:00,Selat Bali,0.36,13.8,0.1,8340.0,7.2,30.1
2026-05-21T09:00,Selat Bali,0.34,15.7,0.1,8000.0,5.6,30.2
2026-05-21T10:00,Selat Bali,0.34,16.6,0.2,7600.0,3.5,30.3
2026-05-21T11:00,Selat Bali,0.34,16.4,0.1,22120.0,2.2,30.4
2026-05-21T12:00,Selat Bali,0.34,16.3,0.0,15820.0,1.7,30.4
2026-05-21T13:00,Selat Bali,0.34,15.9,0.1,11020.0,1.5,30.5
2026-05-21T14:00,Selat Bali,0.34,15.3,0.1,14640.0,1.7,30.5
2026-05-21T15:00,Selat Bali,0.34,10.9,0.0,17680.0,2.5,30.5
2026-05-21T16:00,Selat Bali,0.34,11.0,0.0,19820.0,4.2,30.5
2026-05-21T17:00,Selat Bali,0.34,3.6,0.0,20920.0,6.1,30.4
2026-05-21T18:00,Selat Bali,0.32,9.2,0.4,7880.0,7.4,30.4
2026-05-21T19:00,Selat Bali,0.32,9.8,0.0,14080.0,7.6,30.4
2026-05-21T20:00,Selat Bali,0.32,11.3,0.0,13640.0,6.8,30.4
2026-05-21T21:00,Selat Bali,0.32,11.3,0.0,14560.0,5.2,30.3
2026-05-21T22:00,Selat Bali,0.32,10.3,0.0,5100.0,3.1,30.3
2026-05-21T23:00,Selat Bali,0.32,10.4,0.0,5400.0,1.8,30.3
2026-05-22T00:00,Selat Bali,0.3,10.2,0.0,15580.0,2.1,30.2
2026-05-22T01:00,Selat Bali,0.3,10.5,0.0,3760.0,2.3,30.2
2026-05-22T02:00,Selat Bali,0.3,8.6,0.0,740.0,1.8,30.2
2026-05-22T03:00,Selat Bali,0.28,7.2,1.9,3660.0,1.4,30.2
2026-05-22T04:00,Selat Bali,0.28,9.2,0.3,5200.0,2.7,30.1
2026-05-22T05:00,Selat Bali,0.28,11.1,0.0,5180.0,4.7,30.1
2026-05-22T06:00,Selat Bali,0.26,15.8,0.0,10920.0,6.7,30.1
2026-05-22T07:00,Selat Bali,0.26,16.2,0.0,14240.0,7.6,30.1
2026-05-22T08:00,Selat Bali,0.26,14.8,0.0,11380.0,7.4,30.2
2026-05-22T09:00,Selat Bali,0.26,15.6,0.0,14480.0,6.3,30.4
2026-05-22T10:00,Selat Bali,0.26,15.7,0.0,16120.0,4.5,30.5
2026-05-22T11:00,Selat Bali,0.26,16.5,0.0,20000.0,2.4,30.6
2026-05-22T12:00,Selat Bali,0.26,17.3,0.0,7060.0,1.4,30.7
2026-05-22T13:00,Selat Bali,0.26,17.6,0.2,8740.0,1.5,30.8
2026-05-22T14:00,Selat Bali,0.26,15.7,0.1,8760.0,1.5,30.8
2026-05-22T15:00,Selat Bali,0.26,16.5,0.1,13940.0,1.1,30.7
2026-05-22T16:00,Selat Bali,0.26,16.5,0.0,20320.0,1.7,30.6
2026-05-22T17:00,Selat Bali,0.26,17.1,0.0,20960.0,3.3,30.5
2026-05-22T18:00,Selat Bali,0.26,17.4,0.0,17700.0,5.0,30.4
2026-05-22T19:00,Selat Bali,0.26,16.8,0.0,16100.0,6.3,30.4
2026-05-22T20:00,Selat Bali,0.26,16.0,0.0,15360.0,6.5,30.3
2026-05-22T21:00,Selat Bali,0.24,14.5,0.0,17080.0,5.8,30.3
2026-05-22T22:00,Selat Bali,0.24,14.1,0.0,17660.0,4.2,30.3
2026-05-22T23:00,Selat Bali,0.24,12.4,0.0,18260.0,2.3,30.2
2026-05-23T00:00,Selat Bali,0.24,12.7,0.0,18480.0,1.5,30.2
