time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Situbondo,0.08,5.6,0.0,14320.0,0.4,30.9
2026-05-20T01:00,Situbondo,0.08,6.8,0.0,14840.0,0.2,30.8
2026-05-20T02:00,Situbondo,0.08,6.9,0.0,17140.0,0.2,30.8
2026-05-20T03:00,Situbondo,0.06,6.8,0.0,3600.0,0.3,30.8
2026-05-20T04:00,Situbondo,0.06,5.7,0.0,1980.0,0.3,30.7
2026-05-20T05:00,Situbondo,0.06,4.4,0.0,1520.0,0.3,30.7
2026-05-20T06:00,Situbondo,0.06,5.8,0.0,1280.0,0.2,30.7
2026-05-20T07:00,Situbondo,0.06,3.8,0.0,3720.0,0.0,30.7
2026-05-20T08:00,Situbondo,0.06,4.1,0.0,7060.0,0.2,30.8
2026-05-20T09:00,Situbondo,0.06,5.9,0.0,6780.0,0.2,30.8
2026-05-20T10:00,Situbondo,0.06,10.2,0.2,6040.0,0.2,30.9
2026-05-20T11:00,Situbondo,0.08,15.0,1.1,5640.0,0.2,30.9
2026-05-20T12:00,Situbondo,0.08,16.5,0.1,23540.0,0.0,31.0
2026-05-20T13:00,Situbondo,0.1,16.3,0.1,6820.0,0.3,31.0
2026-05-20T14:00,Situbondo,0.16,15.9,0.9,4340.0,0.6,31.0
2026-05-20T15:00,Situbondo,0.2,14.0,0.5,8260.0,0.6,31.0
2026-05-20T16:00,Situbondo,0.26,11.7,0.3,6720.0,0.8,31.0
2026-05-20T17:00,Situbondo,0.26,10.7,0.2,11960.0,0.6,30.9
2026-05-20T18:00,Situbondo,0.26,11.7,0.0,13980.0,0.4,30.9
2026-05-20T19:00,Situbondo,0.26,11.0,0.0,16420.0,0.3,30.9
2026-05-20T20:00,Situbondo,0.26,9.5,0.0,22640.0,0.0,30.9
2026-05-20T21:00,Situbondo,0.24,7.7,0.0,22920.0,0.4,30.8
2026-05-20T22:00,Situbondo,0.24,6.3,0.0,16380.0,0.6,30.8
2026-05-20T23:00,Situbondo,0.22,4.9,0.0,7080.0,0.6,30.8
2026-05-21T00:00,Situbondo,0.22,5.6,0.1,1140.0,0.6,30.8
2026-05-21T01:00,Situbondo,0.2,6.4,0.1,820.0,0.4,30.8
2026-05-21T02:00,Situbondo,0.18,7.4,0.0,1040.0,0.2,30.8
2026-05-21T03:00,Situbondo,0.18,5.2,0.0,1360.0,0.0,30.7
2026-05-21T04:00,Situbondo,0.16,4.7,0.0,1000.0,0.2,30.7
2026-05-21T05:00,Situbondo,0.16,4.1,0.0,1100.0,0.3,30.6
2026-05-21T06:00,Situbondo,0.14,5.4,0.0,1260.0,0.3,30.6
2026-05-21T07:00,Situbondo,0.14,7.2,0.0,4520.0,0.3,30.6
2026-05-21T08:00,Situbondo,0.16,10.4,0.2,5560.0,0.0,30.7
2026-05-21T09:00,Situbondo,0.18,12.9,0.2,8300.0,0.2,30.8
2026-05-21T10:00,Situbondo,0.2,14.5,0.1,11920.0,0.2,30.8
2026-05-21T11:00,Situbondo,0.22,14.3,0.1,5000.0,0.2,30.9
2026-05-21T12:00,Situbondo,0.22,12.1,1.5,3720.0,0.2,30.9
2026-05-21T13:00,Situbondo,0.24,11.2,1.1,2960.0,0.0,31.0
2026-05-21T14:00,Situbondo,0.24,6.2,1.2,4400.0,0.3,31.0
2026-05-21T15:00,Situbondo,0.22,7.8,0.9,4200.0,0.4,31.0
2026-05-21T16:00,Situbondo,0.22,7.6,0.3,12060.0,0.6,31.0
2026-05-21T17:00,Situbondo,0.22,5.6,0.1,12000.0,0.6,30.9
2026-05-21T18:00,Situbondo,0.2,5.4,0.0,13160.0,0.6,30.9
2026-05-21T19:00,Situbondo,0.2,5.7,0.0,18140.0,0.5,30.9
2026-05-21T20:00,Situbondo,0.2,4.3,0.0,20700.0,0.3,30.9
2026-05-21T21:00,Situbondo,0.18,3.9,0.0,20060.0,0.0,30.8
2026-05-21T22:00,Situbondo,0.18,3.6,0.0,17760.0,0.4,30.8
2026-05-21T23:00,Situbondo,0.18,5.2,0.0,18180.0,0.4,30.8
2026-05-22T00:00,Situbondo,0.18,4.8,0.0,6920.0,0.6,30.7
2026-05-22T01:00,Situbondo,0.18,6.5,0.0,1380.0,0.4,30.7
2026-05-22T02:00,Situbondo,0.18,3.4,0.0,1060.0,0.4,30.7
2026-05-22T03:00,Situbondo,0.16,6.7,0.0,1120.0,0.2,30.6
2026-05-22T04:00,Situbondo,0.16,3.0,0.0,1140.0,0.0,30.6
2026-05-22T05:00,Situbondo,0.16,4.9,0.0,1420.0,0.3,30.6
2026-05-22T06:00,Situbondo,0.16,6.1,0.0,1820.0,0.3,30.6
2026-05-22T07:00,Situbondo,0.16,1.9,0.0,20260.0,0.3,30.6
2026-05-22T08:00,Situbondo,0.16,1.9,0.0,23600.0,0.3,30.7
2026-05-22T09:00,Situbondo,0.18,2.7,0.0,26220.0,0.3,30.8
2026-05-22T10:00,Situbondo,0.18,3.3,0.0,22300.0,0.0,31.0
2026-05-22T11:00,Situbondo,0.18,7.7,0.0,17500.0,0.0,31.0
2026-05-22T12:00,Situbondo,0.18,8.4,0.0,26240.0,0.0,31.1
2026-05-22T13:00,Situbondo,0.18,11.7,3.1,2060.0,0.0,31.2
2026-05-22T14:00,Situbondo,0.2,10.1,5.5,1720.0,0.2,31.2
2026-05-22T15:00,Situbondo,0.2,3.1,1.6,5720.0,0.4,31.1
2026-05-22T16:00,Situbondo,0.22,3.8,0.2,10220.0,0.4,31.1
2026-05-22T17:00,Situbondo,0.22,2.5,0.0,16300.0,0.6,31.0
2026-05-22T18:00,Situbondo,0.2,4.0,0.0,16360.0,0.6,31.0
2026-05-22T19:00,Situbondo,0.2,4.9,0.0,15060.0,0.6,30.9
2026-05-22T20:00,Situbondo,0.2,6.5,0.0,17100.0,0.6,30.9
2026-05-22T21:00,Situbondo,0.18,7.4,0.0,18260.0,0.4,30.8
2026-05-22T22:00,Situbondo,0.18,6.2,0.0,18260.0,0.3,30.8
2026-05-22T23:00,Situbondo,0.18,6.1,0.0,9740.0,0.2,30.8
2026-05-23T00:00,Situbondo,0.18,4.0,0.0,7020.0,0.2,30.7
2026-05-23T01:00,Situbondo,0.18,4.0,0.0,18160.0,0.4,30.7
2026-05-23T02:00,Situbondo,0.18,3.6,0.0,18080.0,0.4,30.7
2026-05-23T03:00,Situbondo,0.18,3.5,0.0,2640.0,0.2,30.6
2026-05-23T04:00,Situbondo,0.18,3.8,0.0,1540.0,0.0,30.6
2026-05-23T05:00,Situbondo,0.16,6.0,0.0,1380.0,0.0,30.6
2026-05-23T06:00,Situbondo,0.16,6.8,0.0,1220.0,0.3,30.6
2026-05-23T07:00,Situbondo,0.14,5.7,0.0,4460.0,0.4,30.6
2026-05-23T08:00,Situbondo,0.14,5.5,0.0,26260.0,0.4,30.7
2026-05-23T09:00,Situbondo,0.14,1.3,0.0,26260.0,0.6,30.8
2026-05-23T10:00,Situbondo,0.14,5.4,0.0,16260.0,0.4,31.0
2026-05-23T11:00,Situbondo,0.14,10.9,0.1,7020.0,0.4,31.0
2026-05-23T12:00,Situbondo,0.14,14.6,0.5,8480.0,0.4,31.1
2026-05-23T13:00,Situbondo,0.14,12.3,0.3,9540.0,0.4,31.2
2026-05-23T14:00,Situbondo,0.14,13.4,1.2,3640.0,0.4,31.2
2026-05-23T15:00,Situbondo,0.12,9.7,1.4,4660.0,0.4,31.1
2026-05-23T16:00,Situbondo,0.12,7.1,0.5,8600.0,0.5,31.0
2026-05-23T17:00,Situbondo,0.12,3.0,0.1,17960.0,0.6,31.0
2026-05-23T18:00,Situbondo,0.12,3.1,0.0,20080.0,0.6,30.9
2026-05-23T19:00,Situbondo,0.12,6.0,0.0,17020.0,0.8,30.9
2026-05-23T20:00,Situbondo,0.12,6.0,0.0,16760.0,0.6,30.8
2026-05-23T21:00,Situbondo,0.12,5.3,0.0,16480.0,0.6,30.8
2026-05-23T22:00,Situbondo,0.12,4.6,0.0,16220.0,0.4,30.8
2026-05-23T23:00,Situbondo,0.12,4.5,0.0,16720.0,0.3,30.8
2026-05-24T00:00,Situbondo,0.1,4.4,0.0,17220.0,0.0,30.7
