time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Sumenep,0.06,5.3,0.0,18220.0,0.2,30.6
2026-05-20T01:00,Sumenep,0.06,4.1,0.0,18220.0,0.0,30.6
2026-05-20T02:00,Sumenep,0.06,3.1,0.0,18220.0,0.0,30.6
2026-05-20T03:00,Sumenep,0.04,2.5,0.0,17700.0,0.0,30.6
2026-05-20T04:00,Sumenep,0.04,1.3,0.0,17800.0,0.0,30.5
2026-05-20T05:00,Sumenep,0.04,1.8,0.0,18240.0,0.0,30.5
2026-05-20T06:00,Sumenep,0.04,4.0,0.0,18240.0,0.0,30.5
2026-05-20T07:00,Sumenep,0.04,6.2,0.0,23000.0,0.2,30.5
2026-05-20T08:00,Sumenep,0.04,7.0,0.0,10500.0,0.2,30.6
2026-05-20T09:00,Sumenep,0.04,6.2,0.2,6180.0,0.4,30.6
2026-05-20T10:00,Sumenep,0.04,6.2,0.4,5140.0,0.4,30.7
2026-05-20T11:00,Sumenep,0.04,7.2,0.9,4240.0,0.4,30.8
2026-05-20T12:00,Sumenep,0.06,9.1,1.6,2920.0,0.4,30.9
2026-05-20T13:00,Sumenep,0.06,12.3,0.9,4940.0,0.3,30.9
2026-05-20T14:00,Sumenep,0.1,12.0,0.6,5020.0,0.3,30.9
2026-05-20T15:00,Sumenep,0.14,12.2,0.9,6000.0,0.2,30.9
2026-05-20T16:00,Sumenep,0.18,11.3,0.2,12540.0,0.2,30.9
2026-05-20T17:00,Sumenep,0.18,7.4,0.0,19340.0,0.2,30.9
2026-05-20T18:00,Sumenep,0.2,5.7,0.0,22460.0,0.2,30.9
2026-05-20T19:00,Sumenep,0.2,5.6,0.0,19920.0,0.3,30.9
2026-05-20T20:00,Sumenep,0.2,5.1,0.0,19380.0,0.3,30.9
2026-05-20T21:00,Sumenep,0.18,4.3,0.0,19640.0,0.4,30.8
2026-05-20T22:00,Sumenep,0.18,4.1,0.0,20380.0,0.4,30.8
2026-05-20T23:00,Sumenep,0.18,3.0,0.0,20280.0,0.4,30.8
2026-05-21T00:00,Sumenep,0.18,2.6,0.0,20460.0,0.4,30.7
2026-05-21T01:00,Sumenep,0.18,3.1,0.0,20640.0,0.2,30.7
2026-05-21T02:00,Sumenep,0.18,4.2,0.0,18260.0,0.2,30.6
2026-05-21T03:00,Sumenep,0.16,3.1,0.0,18160.0,0.2,30.6
2026-05-21T04:00,Sumenep,0.16,2.9,0.0,17860.0,0.0,30.6
2026-05-21T05:00,Sumenep,0.16,2.4,0.0,18180.0,0.0,30.6
2026-05-21T06:00,Sumenep,0.14,4.6,0.0,17700.0,0.0,30.6
2026-05-21T07:00,Sumenep,0.14,5.8,0.0,21460.0,0.2,30.6
2026-05-21T08:00,Sumenep,0.14,10.5,0.1,8940.0,0.2,30.6
2026-05-21T09:00,Sumenep,0.14,10.4,0.1,7600.0,0.4,30.7
2026-05-21T10:00,Sumenep,0.14,8.8,0.1,8260.0,0.4,30.8
2026-05-21T11:00,Sumenep,0.16,9.3,0.1,8480.0,0.4,30.9
2026-05-21T12:00,Sumenep,0.16,9.9,0.1,10600.0,0.4,31.0
2026-05-21T13:00,Sumenep,0.18,9.0,1.1,2260.0,0.4,31.0
2026-05-21T14:00,Sumenep,0.18,6.7,1.7,3360.0,0.3,31.0
2026-05-21T15:00,Sumenep,0.16,4.8,2.3,4080.0,0.3,31.0
2026-05-21T16:00,Sumenep,0.16,4.2,0.3,9720.0,0.3,31.0
2026-05-21T17:00,Sumenep,0.16,4.1,0.0,20200.0,0.2,31.0
2026-05-21T18:00,Sumenep,0.14,3.4,0.0,18920.0,0.2,31.0
2026-05-21T19:00,Sumenep,0.14,4.6,0.0,17140.0,0.3,31.0
2026-05-21T20:00,Sumenep,0.14,4.7,0.0,17540.0,0.3,31.0
2026-05-21T21:00,Sumenep,0.12,2.4,0.0,11280.0,0.2,30.9
2026-05-21T22:00,Sumenep,0.12,4.9,0.0,11180.0,0.4,30.9
2026-05-21T23:00,Sumenep,0.12,3.6,0.3,6940.0,0.4,30.9
2026-05-22T00:00,Sumenep,0.12,2.5,0.1,10140.0,0.3,30.8
2026-05-22T01:00,Sumenep,0.12,5.9,0.0,9620.0,0.3,30.8
2026-05-22T02:00,Sumenep,0.14,6.5,0.0,10300.0,0.3,30.8
2026-05-22T03:00,Sumenep,0.16,4.8,0.0,14280.0,0.2,30.8
2026-05-22T04:00,Sumenep,0.18,4.4,0.0,12300.0,0.2,30.7
2026-05-22T05:00,Sumenep,0.2,6.0,0.0,7340.0,0.0,30.7
2026-05-22T06:00,Sumenep,0.2,8.9,0.1,8180.0,0.0,30.7
2026-05-22T07:00,Sumenep,0.22,11.4,0.1,8820.0,0.0,30.7
2026-05-22T08:00,Sumenep,0.22,10.8,0.1,9480.0,0.2,30.8
2026-05-22T09:00,Sumenep,0.2,13.1,1.4,2420.0,0.2,30.8
2026-05-22T10:00,Sumenep,0.2,11.0,0.9,4960.0,0.2,30.9
2026-05-22T11:00,Sumenep,0.2,14.0,0.8,4580.0,0.4,31.0
2026-05-22T12:00,Sumenep,0.22,10.1,0.3,5020.0,0.4,31.0
2026-05-22T13:00,Sumenep,0.22,9.7,0.5,4640.0,0.4,31.1
2026-05-22T14:00,Sumenep,0.22,10.2,2.0,3740.0,0.4,31.1
2026-05-22T15:00,Sumenep,0.24,11.1,0.8,4900.0,0.2,31.1
2026-05-22T16:00,Sumenep,0.24,12.8,0.3,10300.0,0.3,31.1
2026-05-22T17:00,Sumenep,0.24,10.2,0.0,16820.0,0.3,31.0
2026-05-22T18:00,Sumenep,0.22,7.0,0.0,15500.0,0.2,31.0
2026-05-22T19:00,Sumenep,0.22,6.8,0.0,11180.0,0.2,31.0
2026-05-22T20:00,Sumenep,0.22,6.2,0.1,7780.0,0.2,31.0
2026-05-22T21:00,Sumenep,0.2,5.5,0.1,12580.0,0.2,31.0
2026-05-22T22:00,Sumenep,0.2,5.6,0.0,18160.0,0.2,31.0
2026-05-22T23:00,Sumenep,0.2,7.5,0.3,2540.0,0.2,30.9
2026-05-23T00:00,Sumenep,0.2,2.8,0.6,7660.0,0.2,30.9
2026-05-23T01:00,Sumenep,0.2,2.9,0.0,13100.0,0.2,30.9
2026-05-23T02:00,Sumenep,0.2,2.6,0.0,13760.0,0.2,30.8
2026-05-23T03:00,Sumenep,0.18,2.1,0.0,13380.0,0.2,30.8
2026-05-23T04:00,Sumenep,0.18,2.0,0.0,14080.0,0.2,30.8
2026-05-23T05:00,Sumenep,0.16,2.3,0.0,12500.0,0.0,30.8
2026-05-23T06:00,Sumenep,0.16,6.3,0.0,11120.0,0.0,30.8
2026-05-23T07:00,Sumenep,0.14,9.0,0.0,11220.0,0.0,30.8
2026-05-23T08:00,Sumenep,0.14,10.4,0.0,13460.0,0.0,30.8
2026-05-23T09:00,Sumenep,0.12,11.9,0.0,11360.0,0.0,30.9
2026-05-23T10:00,Sumenep,0.12,12.7,0.2,5340.0,0.0,31.0
2026-05-23T11:00,Sumenep,0.12,11.8,0.5,4960.0,0.2,31.1
2026-05-23T12:00,Sumenep,0.1,10.1,1.3,3380.0,0.3,31.2
2026-05-23T13:00,Sumenep,0.1,8.0,0.7,4440.0,0.4,31.3
2026-05-23T14:00,Sumenep,0.1,8.3,0.8,4300.0,0.4,31.3
2026-05-23T15:00,Sumenep,0.1,8.2,0.9,4160.0,0.4,31.2
2026-05-23T16:00,Sumenep,0.1,9.4,1.1,3940.0,0.3,31.2
2026-05-23T17:00,Sumenep,0.1,2.2,0.7,10180.0,0.3,31.1
2026-05-23T18:00,Sumenep,0.08,2.4,0.0,12480.0,0.2,31.1
2026-05-23T19:00,Sumenep,0.08,3.5,0.0,14360.0,0.2,31.0
2026-05-23T20:00,Sumenep,0.1,3.6,0.0,13740.0,0.0,31.0
2026-05-23T21:00,Sumenep,0.1,4.7,0.0,13100.0,0.0,31.0
2026-05-23T22:00,Sumenep,0.12,5.1,0.0,12480.0,0.2,31.0
2026-05-23T23:00,Sumenep,0.14,4.1,0.0,13400.0,0.2,31.0
2026-05-24T00:00,Sumenep,0.14,3.1,0.0,14320.0,0.2,31.0
2026-05-24T01:00,Sumenep,0.16,3.6,0.0,15240.0,0.4,31.0
2026-05-24T02:00,Sumenep,0.16,4.5,0.1,12900.0,0.4,30.9
2026-05-24T03:00,Sumenep,0.18,5.4,0.1,10560.0,0.3,30.9
2026-05-24T04:00,Sumenep,0.18,5.6,0.1,8220.0,0.2,30.9
