time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-20T00:00,Watu Ulo,1.84,4.7,0.0,12400.0,0.7,28.6
2026-05-20T01:00,Watu Ulo,1.84,5.5,0.0,12340.0,0.7,28.6
2026-05-20T02:00,Watu Ulo,1.84,3.4,0.0,12380.0,0.7,28.5
2026-05-20T03:00,Watu Ulo,1.84,2.8,0.0,12460.0,0.6,28.5
2026-05-20T04:00,Watu Ulo,1.84,1.5,0.0,17460.0,0.6,28.5
2026-05-20T05:00,Watu Ulo,1.84,1.1,0.0,20740.0,0.6,28.5
2026-05-20T06:00,Watu Ulo,1.82,1.9,0.0,20720.0,0.6,28.5
2026-05-20T07:00,Watu Ulo,1.82,3.4,0.0,17380.0,0.6,28.5
2026-05-20T08:00,Watu Ulo,1.8,1.3,0.0,20580.0,0.6,28.5
2026-05-20T09:00,Watu Ulo,1.8,0.8,0.0,13820.0,0.6,28.6
2026-05-20T10:00,Watu Ulo,1.78,1.9,0.1,7880.0,0.6,28.8
2026-05-20T11:00,Watu Ulo,1.76,2.2,0.3,7540.0,0.4,28.9
2026-05-20T12:00,Watu Ulo,1.76,0.8,0.2,6740.0,0.4,29.0
2026-05-20T13:00,Watu Ulo,1.74,2.8,0.2,8740.0,0.3,29.0
2026-05-20T14:00,Watu Ulo,1.72,2.4,0.3,5200.0,0.3,29.0
2026-05-20T15:00,Watu Ulo,1.72,1.1,0.5,5000.0,0.4,29.0
2026-05-20T16:00,Watu Ulo,1.7,3.9,0.3,11580.0,0.4,29.0
2026-05-20T17:00,Watu Ulo,1.68,4.1,0.0,11220.0,0.3,29.0
2026-05-20T18:00,Watu Ulo,1.68,3.3,0.1,8740.0,0.4,28.9
2026-05-20T19:00,Watu Ulo,1.66,2.8,0.0,11160.0,0.4,28.9
2026-05-20T20:00,Watu Ulo,1.64,4.2,0.0,11780.0,0.4,28.8
2026-05-20T21:00,Watu Ulo,1.6,5.0,0.0,12060.0,0.4,28.8
2026-05-20T22:00,Watu Ulo,1.58,4.8,0.0,5820.0,0.6,28.8
2026-05-20T23:00,Watu Ulo,1.58,3.6,0.0,12320.0,0.6,28.7
