time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature,wave_height_lag1,wave_height_lag2,wave_height_lag3,wind_speed_10m_lag1,wind_speed_10m_lag2,wind_speed_10m_lag3,precipitation_lag1,precipitation_lag2,precipitation_lag3,visibility_lag1,visibility_lag2,visibility_lag3,ocean_current_velocity_lag1,ocean_current_velocity_lag2,ocean_current_velocity_lag3,sea_surface_temperature_lag1,sea_surface_temperature_lag2,sea_surface_temperature_lag3
2026-05-20 03:00:00,Bangkalan,0.04,8.5,0.0,11680.0,2.2,31.4,0.04,0.04,0.04,7.0,7.0,8.5,0.0,0.0,0.0,11680.0,14100.0,14100.0,2.4,1.8,0.9,31.4,31.5,31.5
2026-05-20 04:00:00,Bangkalan,0.04,8.7,0.0,11680.0,1.7,31.4,0.04,0.04,0.04,8.5,7.0,7.0,0.0,0.0,0.0,11680.0,11680.0,14100.0,2.2,2.4,1.8,31.4,31.4,31.5
2026-05-20 05:00:00,Bangkalan,0.04,8.7,0.0,11680.0,0.9,31.3,0.04,0.04,0.04,8.7,8.5,7.0,0.0,0.0,0.0,11680.0,11680.0,11680.0,1.7,2.2,2.4,31.4,31.4,31.4
2026-05-20 06:00:00,Bangkalan,0.04,9.1,0.0,11680.0,0.3,31.3,0.04,0.04,0.04,8.7,8.7,8.5,0.0,0.0,0.0,11680.0,11680.0,11680.0,0.9,1.7,2.2,31.3,31.4,31.4
2026-05-20 07:00:00,Bangkalan,0.04,6.6,0.0,14100.0,0.6,31.3,0.04,0.04,0.04,9.1,8.7,8.7,0.0,0.0,0.0,11680.0,11680.0,11680.0,0.3,0.9,1.7,31.3,31.3,31.4
2026-05-20 08:00:00,Bangkalan,0.04,5.8,0.0,18540.0,1.2,31.4,0.04,0.04,0.04,6.6,9.1,8.7,0.0,0.0,0.0,14100.0,11680.0,11680.0,0.6,0.3,0.9,31.3,31.3,31.3
2026-05-20 09:00:00,Bangkalan,0.04,7.0,0.0,14460.0,1.4,31.4,0.04,0.04,0.04,5.8,6.6,9.1,0.0,0.0,0.0,18540.0,14100.0,11680.0,1.2,0.6,0.3,31.4,31.3,31.3
2026-05-20 10:00:00,Bangkalan,0.04,5.9,0.0,17380.0,1.2,31.5,0.04,0.04,0.04,7.0,5.8,6.6,0.0,0.0,0.0,14460.0,18540.0,14100.0,1.4,1.2,0.6,31.4,31.4,31.3
2026-05-20 11:00:00,Bangkalan,0.04,5.5,0.0,20700.0,0.8,31.5,0.04,0.04,0.04,5.9,7.0,5.8,0.0,0.0,0.0,17380.0,14460.0,18540.0,1.2,1.4,1.2,31.5,31.4,31.4
2026-05-20 12:00:00,Bangkalan,0.04,9.4,0.2,5660.0,0.4,31.6,0.04,0.04,0.04,5.5,5.9,7.0,0.0,0.0,0.0,20700.0,17380.0,14460.0,0.8,1.2,1.4,31.5,31.5,31.4
2026-05-20 13:00:00,Bangkalan,0.04,13.5,0.3,6420.0,0.9,31.6,0.04,0.04,0.04,9.4,5.5,5.9,0.2,0.0,0.0,5660.0,20700.0,17380.0,0.4,0.8,1.2,31.6,31.5,31.5
2026-05-20 14:00:00,Bangkalan,0.08,15.3,0.2,7540.0,1.3,31.6,0.04,0.04,0.04,13.5,9.4,5.5,0.3,0.2,0.0,6420.0,5660.0,20700.0,0.9,0.4,0.8,31.6,31.6,31.5
2026-05-20 15:00:00,Bangkalan,0.1,13.4,0.2,7900.0,1.1,31.6,0.08,0.04,0.04,15.3,13.5,9.4,0.2,0.3,0.2,7540.0,6420.0,5660.0,1.3,0.9,0.4,31.6,31.6,31.6
2026-05-20 16:00:00,Bangkalan,0.14,11.3,0.2,8440.0,0.6,31.6,0.1,0.08,0.04,13.4,15.3,13.5,0.2,0.2,0.3,7900.0,7540.0,6420.0,1.1,1.3,0.9,31.6,31.6,31.6
2026-05-20 17:00:00,Bangkalan,0.14,8.9,0.1,13880.0,0.4,31.6,0.14,0.1,0.08,11.3,13.4,15.3,0.2,0.2,0.2,8440.0,7900.0,7540.0,0.6,1.1,1.3,31.6,31.6,31.6
2026-05-20 18:00:00,Bangkalan,0.12,7.5,0.0,15440.0,0.8,31.6,0.14,0.14,0.1,8.9,11.3,13.4,0.1,0.2,0.2,13880.0,8440.0,7900.0,0.4,0.6,1.1,31.6,31.6,31.6
2026-05-20 19:00:00,Bangkalan,0.12,6.0,0.0,16080.0,1.5,31.6,0.12,0.14,0.14,7.5,8.9,11.3,0.0,0.1,0.2,15440.0,13880.0,8440.0,0.8,0.4,0.6,31.6,31.6,31.6
2026-05-20 20:00:00,Bangkalan,0.1,9.3,0.0,12880.0,2.1,31.6,0.12,0.12,0.14,6.0,7.5,8.9,0.0,0.0,0.1,16080.0,15440.0,13880.0,1.5,0.8,0.4,31.6,31.6,31.6
2026-05-20 21:00:00,Bangkalan,0.1,11.5,0.0,11040.0,2.1,31.5,0.1,0.12,0.12,9.3,6.0,7.5,0.0,0.0,0.0,12880.0,16080.0,15440.0,2.1,1.5,0.8,31.6,31.6,31.6
2026-05-20 22:00:00,Bangkalan,0.08,10.0,0.0,11040.0,1.7,31.5,0.1,0.1,0.12,11.5,9.3,6.0,0.0,0.0,0.0,11040.0,12880.0,16080.0,2.1,2.1,1.5,31.5,31.6,31.6
2026-05-20 23:00:00,Bangkalan,0.08,7.7,0.0,11620.0,0.9,31.5,0.08,0.1,0.1,10.0,11.5,9.3,0.0,0.0,0.0,11040.0,11040.0,12880.0,1.7,2.1,2.1,31.5,31.5,31.6
2026-05-21 00:00:00,Bangkalan,0.08,7.1,0.0,11720.0,0.0,31.5,0.08,0.08,0.1,7.7,10.0,11.5,0.0,0.0,0.0,11620.0,11040.0,11040.0,0.9,1.7,2.1,31.5,31.5,31.5
2026-05-21 01:00:00,Bangkalan,0.08,8.2,0.0,11720.0,1.1,31.5,0.08,0.08,0.08,7.1,7.7,10.0,0.0,0.0,0.0,11720.0,11620.0,11040.0,0.0,0.9,1.7,31.5,31.5,31.5
2026-05-21 02:00:00,Bangkalan,0.08,8.1,0.0,11720.0,1.8,31.4,0.08,0.08,0.08,8.2,7.1,7.7,0.0,0.0,0.0,11720.0,11720.0,11620.0,1.1,0.0,0.9,31.5,31.5,31.5
2026-05-21 03:00:00,Bangkalan,0.08,8.8,0.0,14140.0,2.2,31.4,0.08,0.08,0.08,8.1,8.2,7.1,0.0,0.0,0.0,11720.0,11720.0,11720.0,1.8,1.1,0.0,31.4,31.5,31.5
2026-05-21 04:00:00,Bangkalan,0.08,9.4,0.0,14140.0,2.0,31.4,0.08,0.08,0.08,8.8,8.1,8.2,0.0,0.0,0.0,14140.0,11720.0,11720.0,2.2,1.8,1.1,31.4,31.4,31.5
2026-05-21 05:00:00,Bangkalan,0.08,8.6,0.0,11720.0,1.6,31.3,0.08,0.08,0.08,9.4,8.8,8.1,0.0,0.0,0.0,14140.0,14140.0,11720.0,2.0,2.2,1.8,31.4,31.4,31.4
2026-05-21 06:00:00,Bangkalan,0.06,9.9,0.0,11740.0,0.9,31.3,0.08,0.08,0.08,8.6,9.4,8.8,0.0,0.0,0.0,11720.0,14140.0,14140.0,1.6,2.0,2.2,31.3,31.4,31.4
2026-05-21 07:00:00,Bangkalan,0.06,8.8,0.0,14160.0,0.3,31.3,0.06,0.08,0.08,9.9,8.6,9.4,0.0,0.0,0.0,11740.0,11720.0,14140.0,0.9,1.6,2.0,31.3,31.3,31.4
2026-05-21 08:00:00,Bangkalan,0.06,9.2,0.0,14860.0,0.6,31.4,0.06,0.06,0.08,8.8,9.9,8.6,0.0,0.0,0.0,14160.0,11740.0,11720.0,0.3,0.9,1.6,31.3,31.3,31.3
2026-05-21 09:00:00,Bangkalan,0.06,9.3,0.2,8160.0,1.2,31.5,0.06,0.06,0.06,9.2,8.8,9.9,0.0,0.0,0.0,14860.0,14160.0,11740.0,0.6,0.3,0.9,31.4,31.3,31.3
2026-05-21 10:00:00,Bangkalan,0.06,8.0,0.1,11920.0,1.4,31.5,0.06,0.06,0.06,9.3,9.2,8.8,0.2,0.0,0.0,8160.0,14860.0,14160.0,1.2,0.6,0.3,31.5,31.4,31.3
2026-05-21 11:00:00,Bangkalan,0.06,6.6,0.0,11780.0,1.2,31.6,0.06,0.06,0.06,8.0,9.3,9.2,0.1,0.2,0.0,11920.0,8160.0,14860.0,1.4,1.2,0.6,31.5,31.5,31.4
2026-05-21 12:00:00,Bangkalan,0.06,9.9,0.0,20760.0,0.8,31.8,0.06,0.06,0.06,6.6,8.0,9.3,0.0,0.1,0.2,11780.0,11920.0,8160.0,1.2,1.4,1.2,31.6,31.5,31.5
2026-05-21 13:00:00,Bangkalan,0.06,6.7,0.4,6660.0,0.4,31.8,0.06,0.06,0.06,9.9,6.6,8.0,0.0,0.0,0.1,20760.0,11780.0,11920.0,0.8,1.2,1.4,31.8,31.6,31.5
2026-05-21 14:00:00,Bangkalan,0.06,7.6,0.3,4900.0,0.6,31.8,0.06,0.06,0.06,6.7,9.9,6.6,0.4,0.0,0.0,6660.0,20760.0,11780.0,0.4,0.8,1.2,31.8,31.8,31.6
2026-05-21 15:00:00,Bangkalan,0.06,10.1,1.3,3920.0,0.9,31.8,0.06,0.06,0.06,7.6,6.7,9.9,0.3,0.4,0.0,4900.0,6660.0,20760.0,0.6,0.4,0.8,31.8,31.8,31.8
2026-05-21 16:00:00,Bangkalan,0.06,10.6,0.3,9360.0,0.9,31.8,0.06,0.06,0.06,10.1,7.6,6.7,1.3,0.3,0.4,3920.0,4900.0,6660.0,0.9,0.6,0.4,31.8,31.8,31.8
